token,count,category,proposed_modern_form,confidence,notes
calimutang,1,A,kalimutang,Medium,Archaic ca/co/cu start
nacarurungis,1,A,nakarurungis,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caballeriang,1,A,kaballeriang,Medium,Archaic ca/co/cu start
nangacucubli,1,A,nangakukubli,Medium,Archaic intervocalic c
nacasasalubong,1,A,nakasasalubong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
carromatang,1,A,karromatang,Medium,Archaic ca/co/cu start
guarnicion,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
abaca,1,A,abaka,Medium,Archaic intervocalic c
carromatero,1,A,karromatero,Medium,Archaic ca/co/cu start
nacawawala,1,A,nakawawala,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
maalicaboc,1,A,maalikabok,Medium,Archaic ending -c
tropico,1,A,tropiko,Medium,Archaic intervocalic c
calairit,1,A,kalairit,Medium,Archaic ca/co/cu start
napacabanayad,1,A,napakabanayad,Medium,Archaic intervocalic c
nagpapatacbo,1,E,,Medium,Uncertain
lipac,1,A,lipak,Medium,Archaic ending -c
coche't,1,B,,Medium,Spanish/Foreign (ch)
victoriang,1,E,,Medium,Uncertain
caiiwan,1,A,kaiiwan,Medium,Archaic ca/co/cu start
mangagsisisacay,1,A,mangagsisisakay,Medium,Archaic intervocalic c
Cucunin,1,C,,High,Proper Noun (Capitalized ca/co/cu)
nagtaca,1,A,nagtaka,Medium,Archaic intervocalic c
sacay,1,A,sakay,Medium,Archaic intervocalic c
nacaimic,1,A,nakaimik,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
napacalaking,1,A,napakalaking,Medium,Archaic intervocalic c
pagkapasoc,1,A,pagkapasok,Medium,Archaic ending -c
Procuracion,1,C,,High,Proper/Spanish
tumuctoc,1,A,tumuktok,Medium,Archaic ending -c
nacapagdaragdag,1,A,nakapagdaragdag,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacahalukipkip,1,A,nakahalukipkip,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
ipinagcatiwalang,1,E,,Medium,Uncertain
cabulastigan,1,A,kabulastigan,Medium,Archaic ca/co/cu start
nagcacangpapagal,1,A,nagkakangpapagal,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Manacatili,1,C,,High,Proper Noun (Contains c)
casakima'y,1,A,kasakima'y,Medium,Archaic ca/co/cu start
nacapagpapagaling,1,A,nakapagpapagaling,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Nacararaya,1,A,Nakararaya,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacapagpapahimbing,1,A,nakapagpapahimbing,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacapagpapapangit,1,A,nakapagpapapangit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
capangitang,1,A,kapangitang,Medium,Archaic ca/co/cu start
inaaacala,1,A,inaaakala,Medium,Archaic intervocalic c
macapagsalitaan,1,A,makapagsalitaan,Medium,Archaic intervocalic c
cabigatan,1,A,kabigatan,Medium,Archaic ca/co/cu start
bigcas,1,E,,Medium,Uncertain
nacasasakit,1,A,nakasasakit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
manahimic,1,A,manahimik,Medium,Archaic ending -c
pinacaparusa,1,A,pinakaparusa,Medium,Archaic intervocalic c
napacatanga,1,A,napakatanga,Medium,Archaic intervocalic c
pasusucuin,1,A,pasusukuin,Medium,Archaic intervocalic c
macapagligtas,1,A,makapagligtas,Medium,Archaic intervocalic c
linalacbay,1,E,,Medium,Uncertain
asucal,1,A,asukal,Medium,Archaic intervocalic c
sampaloc,1,A,sampalok,Medium,Archaic ending -c
nagcacapatlangpatlang,1,A,nagkakapatlangpatlang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cumikipot,1,A,kumikipot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
kinacapitang,1,A,kinakapitang,Medium,Archaic intervocalic c
nangpapalico,1,A,nangpapaliko,Medium,Archaic intervocalic c
nacalitaw,1,A,nakalitaw,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
zancuda,1,E,,Medium,Uncertain
cagamitan,1,A,kagamitan,Medium,Archaic ca/co/cu start
circo,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
pagpapatiwatiwaric,1,A,pagpapatiwatiwarik,Medium,Archaic ending -c
nangagcacatwa,1,A,nangagkakatwa,Medium,Archaic intervocalic c
catandatandaang,1,A,katandatandaang,Medium,Archaic ca/co/cu start
pinacacapit,1,A,pinakakapit,Medium,Archaic intervocalic c
napapagcamal,1,E,,Medium,Uncertain
pagkayacap,1,A,pagkayakap,Medium,Archaic intervocalic c
tumpoc,1,A,tumpok,Medium,Archaic ending -c
pinacalansangan,1,A,pinakalansangan,Medium,Archaic intervocalic c
malacuco,1,A,malakuko,Medium,Archaic intervocalic c
caangutang,1,A,kaangutang,Medium,Archaic ca/co/cu start
binacas,1,A,binakas,Medium,Archaic intervocalic c
Nacatatacot,1,A,Nakatatakot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nangacong,1,A,nangakong,Medium,Archaic intervocalic c
catha't,1,A,katha't,Medium,Archaic ca/co/cu start
binacuran,1,A,binakuran,Medium,Archaic intervocalic c
pagsasacang,1,A,pagsasakang,Medium,Archaic intervocalic c
lumalagpac,1,A,lumalagpak,Medium,Archaic ending -c
lumulucso,1,E,,Medium,Uncertain
cacapalan,1,A,kakapalan,Medium,Archaic ca/co/cu start
Machiavelo,1,C,,High,Proper/Foreign (ch)
nagcacautang,1,A,nagkakautang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nangacacahuli,1,A,nangakakahuli,Medium,Archaic intervocalic c
sumasacanyang,1,A,sumasakanyang,Medium,Archaic intervocalic c
cuadra,1,A,kuadra,Medium,Archaic ca/co/cu start
Sacristan,1,C,,High,Proper Noun (Contains c)
nacapagmumura,1,A,nakapagmumura,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
icapupuri,1,A,ikapupuri,Medium,Archaic intervocalic c
kinamcam,1,E,,Medium,Uncertain
cadustaan,1,A,kadustaan,Medium,Archaic ca/co/cu start
nacatitigatig,1,A,nakatitigatig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacapangingilabot,1,A,nakapangingilabot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
capagurang,1,A,kapagurang,Medium,Archaic ca/co/cu start
cuhilang,1,A,kuhilang,Medium,Archaic ca/co/cu start
nacapaglalagda,1,A,nakapaglalagda,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
coliseo,1,A,koliseo,Medium,Archaic ca/co/cu start
Vaticano'y,1,C,,High,Proper Noun (Contains c)
napacabalasic,1,A,napakabalasik,Medium,Archaic ending -c
carilagan,1,A,karilagan,Medium,Archaic ca/co/cu start
nakicapatid,1,A,nakikapatid,Medium,Archaic intervocalic c
Lumulucso,1,C,,High,Proper Noun (Contains c)
cordong,1,A,kordong,Medium,Archaic ca/co/cu start
Nacatipon,1,A,Nakatipon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
mabaca,1,A,mabaka,Medium,Archaic intervocalic c
napacasigasig,1,A,napakasigasig,Medium,Archaic intervocalic c
icasasama,1,A,ikasasama,Medium,Archaic intervocalic c
panununtoc,1,A,panununtok,Medium,Archaic ending -c
macararaing,1,A,makararaing,Medium,Archaic intervocalic c
Nacapangingilis,1,A,Nakapangingilis,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cati,1,A,kati,Medium,Archaic ca/co/cu start
tucsuhin,1,E,,Medium,Uncertain
nagpapacalasing,1,A,nagpapakalasing,Medium,Archaic intervocalic c
macamalay,1,A,makamalay,Medium,Archaic intervocalic c
eejercicio,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
cordero,1,A,kordero,Medium,Archaic ca/co/cu start
concierto,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
escandalong,1,E,,Medium,Uncertain
carca,1,A,karka,Medium,Archaic ca/co/cu start
carliston,1,A,karliston,Medium,Archaic ca/co/cu start
curita,1,A,kurita,Medium,Archaic ca/co/cu start
Mosca,1,C,,High,Proper Noun (Contains c)
napacagayon,1,A,napakagayon,Medium,Archaic intervocalic c
macagala,1,A,makagala,Medium,Archaic intervocalic c
nacapagpapabanal,1,A,nakapagpapabanal,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
mangagcama'y,1,E,,Medium,Uncertain
cahinusayan,1,A,kahinusayan,Medium,Archaic ca/co/cu start
calasingan,1,A,kalasingan,Medium,Archaic ca/co/cu start
Africa,1,C,,High,Proper Noun (Contains c)
America'y,1,C,,High,Proper Noun (Contains c)
calunuran,1,A,kalunuran,Medium,Archaic ca/co/cu start
maalaboc,1,A,maalabok,Medium,Archaic ending -c
mapamamangcaan,1,E,,Medium,Uncertain
mangagcatowa,1,E,,Medium,Uncertain
bacurang,1,A,bakurang,Medium,Archaic intervocalic c
nacatayong,1,A,nakatayong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
kinatcat,1,E,,Medium,Uncertain
nahuhucay,1,A,nahuhukay,Medium,Archaic intervocalic c
cahubdan,1,A,kahubdan,Medium,Archaic ca/co/cu start
hupyac,1,A,hupyak,Medium,Archaic ending -c
matitinic,1,A,matitinik,Medium,Archaic ending -c
umuucyabit,1,E,,Medium,Uncertain
humuhucay,1,A,humuhukay,Medium,Archaic intervocalic c
cabahabahala,1,A,kabahabahala,Medium,Archaic ca/co/cu start
iniwawacsi,1,E,,Medium,Uncertain
napacamaselang,1,A,napakamaselang,Medium,Archaic intervocalic c
nabaac,1,A,nabaak,Medium,Archaic ending -c
nangacalucsa,1,A,nangakaluksa,Medium,Archaic intervocalic c
mangagcasundo,1,E,,Medium,Uncertain
pinacalalabis,1,A,pinakalalabis,Medium,Archaic intervocalic c
Nasoc,1,A,Nasok,Medium,Archaic ending -c
ibinucod,1,A,ibinukod,Medium,Archaic intervocalic c
caculangculang,1,A,kakulangkulang,Medium,Archaic ca/co/cu start
Hucay,1,C,,High,Proper Noun (Contains c)
hicho,1,B,,Medium,Spanish/Foreign (ch)
cahupyacan,1,A,kahupyakan,Medium,Archaic ca/co/cu start
Tinatapacan,1,C,,High,Proper Noun (Contains c)
cuning,1,A,kuning,Medium,Archaic ca/co/cu start
nacapagpatuloy,1,A,nakapagpatuloy,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pagkahucay,1,A,pagkahukay,Medium,Archaic intervocalic c
Nacapugay,1,A,Nakapugay,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
hitic,1,A,hitik,Medium,Archaic ending -c
pagbalic,1,A,pagbalik,Medium,Archaic ending -c
macacasalubong,1,A,makakasalubong,Medium,Archaic intervocalic c
Tiniticlop,1,C,,High,Proper Noun (Contains c)
sacang,1,A,sakang,Medium,Archaic intervocalic c
cana'y,1,A,kana'y,Medium,Archaic ca/co/cu start
tampoc,1,A,tampok,Medium,Archaic ending -c
nagcakita,1,A,nagkakita,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nagpaconowaring,1,A,nagpakonowaring,Medium,Archaic intervocalic c
nahutoc,1,A,nahutok,Medium,Archaic ending -c
pakikipagcapowa,1,E,,Medium,Uncertain
alpaca,1,A,alpaka,Medium,Archaic intervocalic c
cumislap,1,A,kumislap,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
candelabrong,1,A,kandelabrong,Medium,Archaic ca/co/cu start
magcabicabila'y,1,A,magkabikabila'y,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Pasasacampanario,1,C,,High,Proper Noun (Contains c)
nacatungong,1,A,nakatungong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pangcasalucuyan,1,A,pangkasalukuyan,Medium,Archaic intervocalic c
Pagkapanhic,1,A,Pagkapanhik,Medium,Archaic ending -c
caharian,1,A,kaharian,Medium,Archaic ca/co/cu start
magcacapanahon,1,A,magkakapanahon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Itiniclop,1,C,,High,Proper Noun (Contains c)
Jesucristo'y,1,C,,High,Proper Noun (Contains c)
Cluny,1,C,,High,Proper Noun (Contains c)
nagcaroong,1,A,nagkaroong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
inactu,1,E,,Medium,Uncertain
nacacahawig,1,A,nakakahawig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
kinalacal,1,A,kinalakal,Medium,Archaic intervocalic c
naipangaco,1,A,naipangako,Medium,Archaic intervocalic c
pinagcacaibha'y,1,A,pinagkakaibha'y,Medium,Archaic intervocalic c
pumacnit,1,E,,Medium,Uncertain
pagkakahaca,1,A,pagkakahaka,Medium,Archaic intervocalic c
nacapipilit,1,A,nakapipilit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Macabeo,1,C,,High,Proper Noun (Contains c)
Laodicea,1,C,,High,Proper/Spanish
Catolica,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Comedia,1,C,,High,Proper/Spanish Common
Caronte,1,C,,High,Proper Noun (Capitalized ca/co/cu)
nangalangcap,1,E,,Medium,Uncertain
Capitolio,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Jesucristong,1,C,,High,Proper Noun (Contains c)
mecum,1,A,mekum,Medium,Archaic intervocalic c
magcacasiya,1,A,magkakasiya,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
culpis,1,A,kulpis,Medium,Archaic ca/co/cu start
judicium,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
credendus,1,E,,Medium,Uncertain
Florencia,1,C,,High,Proper/Spanish
Capal,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Cum,1,A,Kum,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catholica,1,A,katholika,Medium,Archaic ca/co/cu start
ecclesia,1,E,,Medium,Uncertain
Sancto,1,C,,High,Proper Noun (Contains c)
edocta,1,E,,Medium,Uncertain
cagalinggalingan,1,A,kagalinggalingan,Medium,Archaic ca/co/cu start
Quodcumque,1,C,,High,Proper Noun (Contains c)
macapagpapalagayan,1,A,makapagpapalagayan,Medium,Archaic intervocalic c
nanacawin,1,A,nanakawin,Medium,Archaic intervocalic c
califa,1,A,kalifa,Medium,Archaic ca/co/cu start
catolico'y,1,A,katoliko'y,Medium,Archaic ca/co/cu start
icalabingdalawang,1,A,ikalabingdalawang,Medium,Archaic intervocalic c
estadistica,1,A,estadistika,Medium,Archaic intervocalic c
Mananacop,1,C,,High,Proper Noun (Contains c)
magpapacabagsic,1,A,magpapakabagsik,Medium,Archaic ending -c
layac,1,A,layak,Medium,Archaic ending -c
calakilakihan,1,A,kalakilakihan,Medium,Archaic ca/co/cu start
Cadalisayan,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Sangsinucob,1,C,,High,Proper Noun (Contains c)
cacailanganing,1,A,kakailanganing,Medium,Archaic ca/co/cu start
sacalin,1,A,sakalin,Medium,Archaic intervocalic c
capusungang,1,A,kapusungang,Medium,Archaic ca/co/cu start
Cagalingan,1,C,,High,Proper Noun (Capitalized ca/co/cu)
fenicio,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
kinacai'y,1,A,kinakai'y,Medium,Archaic intervocalic c
cagutlaguitlang,1,A,kagutlaguitlang,Medium,Archaic ca/co/cu start
Nangasaicalawang,1,C,,High,Proper Noun (Contains c)
pinapamimisic,1,A,pinapamimisik,Medium,Archaic ending -c
natacpan,1,E,,Medium,Uncertain
cagat,1,A,kagat,Medium,Archaic ca/co/cu start
binaltac,1,A,binaltak,Medium,Archaic ending -c
nagnacaw,1,A,nagnakaw,Medium,Archaic intervocalic c
Macasandaan,1,C,,High,Proper Noun (Contains c)
macabibili,1,A,makabibili,Medium,Archaic intervocalic c
ikinatatacot,1,A,ikinatatakot,Medium,Archaic intervocalic c
cuartang,1,A,kuartang,Medium,Archaic ca/co/cu start
cagandang,1,A,kagandang,Medium,Archaic ca/co/cu start
viciosong,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
cahati,1,A,kahati,Medium,Archaic ca/co/cu start
nacapaglalacad,1,A,nakapaglalakad,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
inacmaang,1,E,,Medium,Uncertain
nacahahambal,1,A,nakahahambal,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
coro'y,1,A,koro'y,Medium,Archaic ca/co/cu start
camao,1,A,kamao,Medium,Archaic ca/co/cu start
nagtutumacas,1,A,nagtutumakas,Medium,Archaic intervocalic c
catafalco,1,A,katafalko,Medium,Archaic ca/co/cu start
pamaltoc,1,A,pamaltok,Medium,Archaic ending -c
tumahimic,1,A,tumahimik,Medium,Archaic ending -c
nanacacakita,1,A,nanakakakita,Medium,Archaic intervocalic c
nacapagtitiis,1,A,nakapagtitiis,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
jaculatoria,1,A,jakulatoria,Medium,Archaic intervocalic c
macapagsaysay,1,A,makapagsaysay,Medium,Archaic intervocalic c
sangcataohang,1,E,,Medium,Uncertain
macapagbabayad,1,A,makapagbabayad,Medium,Archaic intervocalic c
inimpoc,1,A,inimpok,Medium,Archaic ending -c
magpacahirap,1,A,magpakahirap,Medium,Archaic intervocalic c
magpacagutom,1,A,magpakagutom,Medium,Archaic intervocalic c
culiglig,1,A,kuliglig,Medium,Archaic ca/co/cu start
tuco,1,A,tuko,Medium,Archaic intervocalic c
maipagvicio,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
icasampo't,1,A,ikasampo't,Medium,Archaic intervocalic c
tungco,1,E,,Medium,Uncertain
Nacapangalumbaba,1,A,Nakapangalumbaba,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacauukit,1,A,nakauukit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cayumanguing,1,A,kayumanguing,Medium,Archaic ca/co/cu start
caligatan,1,A,kaligatan,Medium,Archaic ca/co/cu start
cayumanggui,1,A,kayumanggui,Medium,Archaic ca/co/cu start
paghupyac,1,A,paghupyak,Medium,Archaic ending -c
gayac,1,A,gayak,Medium,Archaic ending -c
nacacaalis,1,A,nakakaalis,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
carukhaang,1,A,karukhaang,Medium,Archaic ca/co/cu start
pinangacuan,1,A,pinangakuan,Medium,Archaic intervocalic c
pacaning,1,A,pakaning,Medium,Archaic intervocalic c
guiican,1,A,guiikan,Medium,Archaic intervocalic c
catowaa'y,1,A,katowaa'y,Medium,Archaic ca/co/cu start
nacababasa,1,A,nakababasa,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Macaalawa,1,C,,High,Proper Noun (Contains c)
calaw,1,A,kalaw,Medium,Archaic ca/co/cu start
nangagsisiiyac,1,A,nangagsisiiyak,Medium,Archaic ending -c
Caracaraca'y,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Nagtatacbo,1,C,,High,Proper Noun (Contains c)
nacasigaw,1,A,nakasigaw,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Nacapagsikip,1,A,Nakapagsikip,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pagpapacabait,1,A,pagpapakabait,Medium,Archaic intervocalic c
Nacacaramdam,1,A,Nakakaramdam,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cuartong,1,A,kuartong,Medium,Archaic ca/co/cu start
nagsisicad,1,A,nagsisikad,Medium,Archaic intervocalic c
mapagpacababa,1,A,mapagpakababa,Medium,Archaic intervocalic c
nagpapacababa,1,A,nagpapakababa,Medium,Archaic intervocalic c
magsacristan,1,E,,Medium,Uncertain
casingbait,1,A,kasingbait,Medium,Archaic ca/co/cu start
Macapag,1,C,,High,Proper Noun (Contains c)
ipagcacatiwala,1,A,ipagkakatiwala,Medium,Archaic intervocalic c
calulugdan,1,A,kalulugdan,Medium,Archaic ca/co/cu start
magcacasalapi,1,A,magkakasalapi,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
balatic,1,A,balatik,Medium,Archaic ending -c
Macapangangahoy,1,C,,High,Proper Noun (Contains c)
isinucob,1,A,isinukob,Medium,Archaic intervocalic c
calicsihan,1,A,kaliksihan,Medium,Archaic ca/co/cu start
iniyuyucayoc,1,A,iniyuyukayok,Medium,Archaic ending -c
campanang,1,A,kampanang,Medium,Archaic ca/co/cu start
nacataling,1,A,nakataling,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
icapitong,1,A,ikapitong,Medium,Archaic intervocalic c
nangacaupo,1,A,nangakaupo,Medium,Archaic intervocalic c
sicapat,1,A,sikapat,Medium,Archaic intervocalic c
Curiput,1,C,,High,Proper Noun (Capitalized ca/co/cu)
pahagcan,1,E,,Medium,Uncertain
celadora,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
confesonario,1,A,konfesonario,Medium,Archaic ca/co/cu start
macapakinabang,1,A,makapakinabang,Medium,Archaic intervocalic c
ipinatungcol,1,E,,Medium,Uncertain
nacahiguit,1,A,nakahiguit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cahiguitan,1,A,kahiguitan,Medium,Archaic ca/co/cu start
ipagtacang,1,A,ipagtakang,Medium,Archaic intervocalic c
macahiguit,1,A,makahiguit,Medium,Archaic intervocalic c
macapagcacamit,1,A,makapagkakamit,Medium,Archaic intervocalic c
pinagbubucodbucod,1,A,pinagbubukodbukod,Medium,Archaic intervocalic c
macaubo,1,A,makaubo,Medium,Archaic intervocalic c
nacababasag,1,A,nakababasag,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caliitliitan,1,A,kaliitliitan,Medium,Archaic ca/co/cu start
ipinatutungcol,1,E,,Medium,Uncertain
tinutuctucan,1,A,tinutuktukan,Medium,Archaic intervocalic c
nagcacadalawa,1,A,nagkakadalawa,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nagcacatatatlong,1,A,nagkakatatatlong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Cacaunti,1,C,,High,Proper Noun (Capitalized ca/co/cu)
macaatlong,1,A,makaatlong,Medium,Archaic intervocalic c
ilahoc,1,A,ilahok,Medium,Archaic ending -c
Nacailangang,1,A,Nakailangang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacagunita,1,A,nakagunita,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Pumapanhic,1,A,Pumapanhik,Medium,Archaic ending -c
baculang,1,A,bakulang,Medium,Archaic intervocalic c
caning,1,A,kaning,Medium,Archaic ca/co/cu start
Nagpapacarahan,1,C,,High,Proper Noun (Contains c)
nagbabaca,1,A,nagbabaka,Medium,Archaic intervocalic c
sacritan,1,E,,Medium,Uncertain
pagkapagnacaw,1,A,pagkapagnakaw,Medium,Archaic intervocalic c
nagpacaupo,1,A,nagpakaupo,Medium,Archaic intervocalic c
pinagbabalacbalac,1,A,pinagbabalakbalak,Medium,Archaic ending -c
casco,1,A,kasko,Medium,Archaic ca/co/cu start
magtangkilic,1,A,magtangkilik,Medium,Archaic ending -c
icasusulong,1,A,ikasusulong,Medium,Archaic intervocalic c
sinasaclolohan,1,E,,Medium,Uncertain
nagcacaganyan,1,A,nagkakaganyan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Pacapupurihin,1,C,,High,Proper Noun (Contains c)
isinangcap,1,E,,Medium,Uncertain
icahiya,1,A,ikahiya,Medium,Archaic intervocalic c
pinacabati,1,A,pinakabati,Medium,Archaic intervocalic c
paghalakhac,1,A,paghalakhak,Medium,Archaic ending -c
nangagcacalaban,1,A,nangagkakalaban,Medium,Archaic intervocalic c
nacacatawa,1,A,nakakatawa,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
macatawa,1,A,makatawa,Medium,Archaic intervocalic c
Ciruela,1,C,,High,Proper/Spanish
Ciruela'y,1,C,,High,Proper/Spanish
kinatatacutan,1,A,kinatatakutan,Medium,Archaic intervocalic c
makikicampi,1,A,makikikampi,Medium,Archaic intervocalic c
caririmariman,1,A,karirimariman,Medium,Archaic ca/co/cu start
magpacaalimura,1,A,magpakaalimura,Medium,Archaic intervocalic c
itinacuil,1,A,itinakuil,Medium,Archaic intervocalic c
nagpacadala,1,A,nagpakadala,Medium,Archaic intervocalic c
cumita,1,A,kumita,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacapagpapaalaala,1,A,nakapagpapaalaala,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
capaitpaitang,1,A,kapaitpaitang,Medium,Archaic ca/co/cu start
pagpapacapagod,1,A,pagpapakapagod,Medium,Archaic intervocalic c
cawiliwili,1,A,kawiliwili,Medium,Archaic ca/co/cu start
ipagcacasala,1,A,ipagkakasala,Medium,Archaic intervocalic c
napacahangal,1,A,napakahangal,Medium,Archaic intervocalic c
nacagugulo,1,A,nakagugulo,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
calimbagan,1,A,kalimbagan,Medium,Archaic ca/co/cu start
Pinacsa,1,C,,High,Proper Noun (Contains c)
cawilihan,1,A,kawilihan,Medium,Archaic ca/co/cu start
tinicang,1,A,tinikang,Medium,Archaic intervocalic c
cartilla'y,1,A,kartilla'y,Medium,Archaic ca/co/cu start
caigayahan,1,A,kaigayahan,Medium,Archaic ca/co/cu start
capurulan,1,A,kapurulan,Medium,Archaic ca/co/cu start
catedral,1,A,katedral,Medium,Archaic ca/co/cu start
licong,1,A,likong,Medium,Archaic intervocalic c
mababalasic,1,A,mababalasik,Medium,Archaic ending -c
Catalinong,1,C,,High,Proper Noun (Capitalized ca/co/cu)
Nacabawas,1,A,Nakabawas,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Nacapapaso,1,A,Nakapapaso,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catayua'y,1,A,katayua'y,Medium,Archaic ca/co/cu start
mapagcucuro,1,A,mapagkukuro,Medium,Archaic intervocalic c
Nangagsitacas,1,C,,High,Proper Noun (Contains c)
panunumbalic,1,A,panunumbalik,Medium,Archaic ending -c
nagsacristan,1,E,,Medium,Uncertain
napacasaclap,1,A,napakasaklap,Medium,Archaic intervocalic c
catecismong,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
catecismo,1,B,,Medium,Spanish/Foreign pattern (ce/ci)
nacucuba,1,A,nakukuba,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
idinidicta,1,E,,Medium,Uncertain
nangagcagulo,1,E,,Medium,Uncertain
wicaan,1,A,wikaan,Medium,Archaic intervocalic c
Catolicismo,1,C,,High,Proper/Spanish
Doctrina,1,C,,High,Proper Noun (Contains c)
nacasasaulo,1,A,nakasasaulo,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
ipanganganac,1,A,ipanganganak,Medium,Archaic ending -c
napacamahiliguin,1,A,napakamahiliguin,Medium,Archaic intervocalic c
binalac,1,A,binalak,Medium,Archaic ending -c
casalaulaan,1,A,kasalaulaan,Medium,Archaic ca/co/cu start
pangpaputoc,1,A,pangpaputok,Medium,Archaic ending -c
calawangin,1,A,kalawangin,Medium,Archaic ca/co/cu start
nacabuca,1,A,nakabuka,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
bancco,1,E,,Medium,Uncertain
nacahuhusto,1,A,nakahuhusto,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nangagcacasundo,1,A,nangagkakasundo,Medium,Archaic intervocalic c
catangia'y,1,A,katangia'y,Medium,Archaic ca/co/cu start
Nacacapagculang,1,A,Nakakapagkulang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Nacausap,1,A,Nakausap,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
humicayat,1,A,humikayat,Medium,Archaic intervocalic c
ipagtatacwilan,1,E,,Medium,Uncertain
cababababaan,1,A,kababababaan,Medium,Archaic ca/co/cu start
