token,count,proposed_modern
cabukiran,2,cabukiran
nangaguiguitla,2,nangaguiguitla
pagcacahanda,2,pagcacahanda
frasco,2,frasco
pagcacayari,2,pagcacayari
calaguitnaa,2,calaguitnaa
nacapintang,2,nacapintang
reliquia,2,reliquia
niyayacap,2,niyayacap
Principe,2,Principe
tugtuguing,2,tugtuguing
Joaquin,2,Joaquin
ticas,2,ticas
palacol,2,palacol
cahab,2,cahab
nacabilibid,2,nacabilibid
picapedrero,2,picapedrero
cabutihan,2,cabutihan
cabria,2,cabria
guirnaldang,2,guirnaldang
pinacamalaking,2,pinacamalaking
impoc,2,impoc
cuello,2,cuello
caparangalanan,2,caparangalanan
tatawaguin,2,tatawaguin
Instruccion,2,Instruccion
nagcacang,2,nagcacang
Pumanhic,2,Pumanhic
nacacaibig,2,nacacaibig
napiguilan,2,napiguilan
halakhacan,2,halakhacan
Nalulungcot,2,Nalulungcot
iwasac,2,iwasac
nacasuut,2,nacasuut
cadilimang,2,cadilimang
pagcapiit,2,pagcapiit
nagcataong,2,nagcataong
cahahandog,2,cahahandog
cahigpitang,2,cahigpitang
nacababagbag,2,nacababagbag
Franciscano,2,Franciscano
Dominico,2,Dominico
dramatico,2,dramatico
Cataastaasan,2,Cataastaasan
champaña,2,champaña
nacaunawa,2,nacaunawa
catacataca,2,catacataca
Capayapaan,2,Capayapaan
planchang,2,planchang
carrong,2,carrong
Convento,2,Convento
mairuguin,2,mairuguin
Corresponsal,2,Corresponsal
Choy,2,Choy
palagui,2,palagui
Consul,2,Consul
magcacandila,2,magcacandila
pinatatacbo,2,pinatatacbo
calangitang,2,calangitang
pinagcaisahan,2,pinagcaisahan
cahinahinayang,2,cahinahinayang
cumiya,2,cumiya
kilic,2,kilic
pagtutulacan,2,pagtutulacan
pagcatunaw,2,pagcatunaw
guinagad,2,guinagad
nacadamit,2,nacadamit
caloobang,2,caloobang
pagtahimic,2,pagtahimic
cabilisan,2,cabilisan
bubucal,2,bubucal
calibugan,2,calibugan
pagcahiya,2,pagcahiya
Pinapagcunot,2,Pinapagcunot
nacalimutan,2,nacalimutan
licaw,2,licaw
pagcabilanggo,2,pagcabilanggo
cabulucan,2,cabulucan
casipaga,2,casipaga
condenada,2,condenada
mesticillo,2,mesticillo
silacbo,2,silacbo
nacacasalubong,2,nacacasalubong
paghuhucom,2,paghuhucom
concillos,2,concillos
pacca,2,pacca
nacacabayo,2,nacacabayo
bacya,2,bacya
Macaalawang,2,Macaalawang
guinagatungan,2,guinagatungan
cantahin,2,cantahin
nacagapos,2,nacagapos
nagcaca,2,nagcaca
cacatuwang,2,cacatuwang
naguiguising,2,naguiguising
mabubuloc,2,mabubuloc
catcatin,2,catcatin
tilamsic,2,tilamsic
pagsisicap,2,pagsisicap
nangagsisitacas,2,nangagsisitacas
musical,2,musical
cacailanganin,2,cacailanganin
napacalaki,2,napacalaki
lechada,2,lechada
cahinhinang,2,cahinhinang
nacadungaw,2,nacadungaw
lagapac,2,lagapac
Tumacas,2,Tumacas
cahabaan,2,cahabaan
wiwicaing,2,wiwicaing
iiyac,2,iiyac
macabubuhay,2,macabubuhay
cangga,2,cangga
nacahicayat,2,nacahicayat
caalaman,2,caalaman
nagcacawangis,2,nagcacawangis
magpacabuhay,2,magpacabuhay
cainan,2,cainan
cadakidakilaan,2,cadakidakilaan
catagal,2,catagal
mawiwica,2,mawiwica
mahiliguin,2,mahiliguin
calicot,2,calicot
cumacayat,2,cumacayat
incong,2,incong
cadaliang,2,cadaliang
calabisan,2,calabisan
cumumpisal,2,cumumpisal
arquitectura,2,arquitectura
pinacahayop,2,pinacahayop
Sacerdote,2,Sacerdote
pagcaisip,2,pagcaisip
pinacain,2,pinacain
nagcacasiya,2,nagcacasiya
casamaa,2,casamaa
cacausapin,2,cacausapin
tawagui,2,tawagui
Tatawaguin,2,Tatawaguin
magcucumpisal,2,magcucumpisal
macapangusap,2,macapangusap
Napahamac,2,Napahamac
tacbuhan,2,tacbuhan
calampag,2,calampag
Delaroche,2,Delaroche
hinutoc,2,hinutoc
casiglahan,2,casiglahan
tiboc,2,tiboc
cahapisan,2,cahapisan
macabati,2,macabati
calugod,2,calugod
pagbubucas,2,pagbubucas
yumayacap,2,yumayacap
pacabicabila,2,pacabicabila
nacasisirang,2,nacasisirang
seccion,2,seccion
icagagalac,2,icagagalac
macapapasoc,2,macapapasoc
Tinalicdan,2,Tinalicdan
catanungan,2,catanungan
nacagugulat,2,nacagugulat
pinagcaratihang,2,pinagcaratihang
macatacas,2,macatacas
nagcacapatong,2,nagcacapatong
calunya,2,calunya
caniya,2,caniya
calapitan,2,calapitan
nacasugat,2,nacasugat
nacapagsasalita,2,nacapagsasalita
Nagcapalad,2,Nagcapalad
pagcalabas,2,pagcalabas
naglulucso,2,naglulucso
nanganac,2,nanganac
linilibac,2,linilibac
tumacbong,2,tumacbong
Bucsan,2,Bucsan
calabog,2,calabog
caloob,2,caloob
nacasalubong,2,nacasalubong
masilacbo,2,masilacbo
macapanayam,2,macapanayam
tacbo,2,tacbo
Sunuguin,2,Sunuguin
nacamamalay,2,nacamamalay
pinagwiwicaan,2,pinagwiwicaan
pilicmata,2,pilicmata
periodico,2,periodico
Macalilibong,2,Macalilibong
masicap,2,masicap
aritmetica,2,aritmetica
pagcawili,2,pagcawili
cabiac,2,cabiac
Quinto,2,Quinto
tumangkilic,2,tumangkilic
mapagpasuco,2,mapagpasuco
hucuman,2,hucuman
napacasal,2,napacasal
flequillo,2,flequillo
pinagcacagugulan,2,pinagcacagugulan
cautalan,2,cautalan
Guiliw,2,Guiliw
amoniaco,2,amoniaco
duque,2,duque
nalulungcot,2,nalulungcot
catatanggap,2,catatanggap
ipinanganganac,2,ipinanganganac
pagcainis,2,pagcainis
Halica,2,Halica
cabayaran,2,cabayaran
pagcatuwa,2,pagcatuwa
corse,2,corse
nacapagligtas,2,nacapagligtas
viatico,2,viatico
nacapangungumpisal,2,nacapangungumpisal
nagcacasala,2,nagcacasala
nagcasala,2,nagcasala
nagcacasalang,2,nagcacasalang
icaanim,2,icaanim
culubong,2,culubong
nacasumpong,2,nacasumpong
capayapaang,2,capayapaang
magpacamatay,2,magpacamatay
cedula,2,cedula
Niyacap,2,Niyacap
taguilira,2,taguilira
caanib,2,caanib
cagalinga,2,cagalinga
bulic,2,bulic
caluban,2,caluban
nangangaco,2,nangangaco
ibinaluctot,2,ibinaluctot
cautusang,2,cautusang
sumalpoc,2,sumalpoc
ipinaco,2,ipinaco
Capatid,2,Capatid
Carapatdapat,2,Carapatdapat
sinasacal,2,sinasacal
ibinalic,2,ibinalic
nacaragdag,2,nacaragdag
naiinguit,2,naiinguit
pucol,2,pucol
Cami,2,Cami
pacacasal,2,pacacasal
catabaan,2,catabaan
maglacadlacad,2,maglacadlacad
sangcalan,2,sangcalan
cawaning,2,cawaning
napacamahal,2,napacamahal
casarinlan,2,casarinlan
encomendero,2,encomendero
natutungcol,2,natutungcol
cahilingan,2,cahilingan
almacen,2,almacen
natupoc,2,natupoc
mamanhic,2,mamanhic
Nanganac,2,Nanganac
nacatulong,2,nacatulong
alacbayan,2,alacbayan
secretario,2,secretario
Canovas,2,Canovas
casinungalingang,2,casinungalingang
macapagtanim,2,macapagtanim
magcacawatasan,2,magcacawatasan
napucaw,2,napucaw
Maguiguing,2,Maguiguing
catulong,2,catulong
cabuluha,2,cabuluha
balangcas,2,balangcas
nacapagcacasala,2,nacapagcacasala
nacadilat,2,nacadilat
Nanicluhod,2,Nanicluhod
tinatacasan,2,tinatacasan
Cahabaghabag,2,Cahabaghabag
nacakilos,2,nacakilos
directorcillong,2,directorcillong
catapusa,2,catapusa
amorseco,2,amorseco
Nacacatulog,2,Nacacatulog
culata,2,culata
nacaunat,2,nacaunat
haguinit,2,haguinit
macayang,2,macayang
guinaw,2,guinaw
nacawingi,2,nacawingi
ilalacad,2,ilalacad
nanunungcod,2,nanunungcod
macarating,2,macarating
cawawaang,2,cawawaang
Quid,2,Quid
revolucion,2,revolucion
Copernico,2,Copernico
catacata,2,catacata
uwac,2,uwac
cabiyac,2,cabiyac
como,2,como
pagbabacang,2,pagbabacang
iguinalang,2,iguinalang
humibic,2,humibic
nacahigang,2,nacahigang
picong,2,picong
manica,2,manica
pagsicat,2,pagsicat
tinic,2,tinic
saclaw,2,saclaw
Naic,2,Naic
iucol,2,iucol
Carriedo,2,Carriedo
Cahoy,2,Cahoy
turco,2,turco
colombo,2,colombo
biscochong,2,biscochong
dialectica,2,dialectica
Caugalian,2,Caugalian
paunlac,2,paunlac
ipinagcait,2,ipinagcait
macafraile,2,macafraile
Cabrera,2,Cabrera
inquisicion,2,inquisicion
Lucio,2,Lucio
municipal,2,municipal
pagcacuha,2,pagcacuha
Consejo,2,Consejo
policia,2,policia
macatowid,2,macatowid
Republica,2,Republica
catagalugang,2,catagalugang
napapaco,2,napapaco
cacasamahin,2,cacasamahin
hemisfercio,2,hemisfercio
escritor,2,escritor
Palacio,2,Palacio
Calvario,2,Calvario
Monarchia,2,Monarchia
ciudadela,2,ciudadela
Sic,1,Sic
quibus,1,quibus
Quatrefages,1,Quatrefages
Virchow,1,Virchow
Coliseo,1,Coliseo
escotilla,1,escotilla
crucero,1,crucero
epicureo,1,epicureo
castaño,1,castaño
nequiores,1,nequiores
Horacio,1,Horacio
Richelieu,1,Richelieu
Pacifico,1,Pacifico
Sancho,1,Sancho
Confusio,1,Confusio
Corporacion,1,Corporacion
Cabecera,1,Cabecera
ejercicio,1,ejercicio
Compañia,1,Compañia
NOCHE,1,NOCHE
Carpio,1,Carpio
clase,1,clase
colegial,1,colegial
bachillerato,1,bachillerato
quos,1,quos
quem,1,quem
contigo,1,contigo
pecadores,1,pecadores
Cannes,1,Cannes
Mucio,1,Mucio
reliquias,1,reliquias
Ceylan,1,Ceylan
Golconda,1,Golconda
sancta,1,sancta
sanctorum,1,sanctorum
Marco,1,Marco
Nicasio,1,Nicasio
Cayetano,1,Cayetano
Paciano,1,Paciano
Mercado,1,Mercado
Nuncio,1,Nuncio
casus,1,casus
Makaragui,1,Makaragui
PLACIDO,1,PLACIDO
bachiller,1,bachiller
Placidete,1,Placidete
Placiding,1,Placiding
principios,1,principios
escolasticos,1,escolasticos
Mecachis,1,Mecachis
heretico,1,heretico
Lussac,1,Lussac
Canones,1,Canones
concilio,1,concilio
requiescat,1,requiescat
pace,1,pace
faciem,1,faciem
vocatur,1,vocatur
facies,1,facies
commendo,1,commendo
Concedo,1,Concedo
antecedentum,1,antecedentum
quare,1,quare
dereliquiste,1,dereliquiste
penitencia,1,penitencia
Palencia,1,Palencia
Atqui,1,Atqui
multiplicar,1,multiplicar
camaron,1,camaron
cangrejo,1,cangrejo
Cogito,1,Cogito
escolastico,1,escolastico
escolasticismo,1,escolasticismo
academico,1,academico
Champagne,1,Champagne
nonchalant,1,nonchalant
crucifijo,1,crucifijo
scene,1,scene
Porque,1,Porque
porque,1,porque
Curioso,1,Curioso
Cosa,1,Cosa
querida,1,querida
invocat,1,invocat
Citeres,1,Citeres
disciplinaria,1,disciplinaria
caracter,1,caracter
constanos,1,constanos
Sociedad,1,Sociedad
Economica,1,Economica
conciliario,1,conciliario
Banco,1,Banco
archicofradia,1,archicofradia
carlista,1,carlista
Picote,1,Picote
Tacon,1,Tacon
casino,1,casino
Exposicion,1,Exposicion
chistera,1,chistera
Condesa,1,Condesa
chal,1,chal
Descartes,1,Descartes
palco,1,palco
Balcon,1,Balcon
Parca,1,Parca
Caton,1,Caton
Quoi,1,Quoi
cancans,1,cancans
chapiro,1,chapiro
Chut,1,Chut
chut,1,chut
comment,1,comment
croyais,1,croyais
respecter,1,respecter
enchantee,1,enchantee
coulisses,1,coulisses
domestico,1,domestico
Domestiques,1,Domestiques
domesticado,1,domesticado
chic,1,chic
Garcilaso,1,Garcilaso
Espronceda,1,Espronceda
Calderon,1,Calderon
Custodining,1,Custodining
corporaciong,1,corporaciong
acorazado,1,acorazado
Panciteria,1,Panciteria
Macanista,1,Macanista
CUSTODIO,1,CUSTODIO
Liceo,1,Liceo
famelica,1,famelica
predicandas,1,predicandas
corporaciones,1,corporaciones
Boccacio,1,Boccacio
clinica,1,clinica
Facultad,1,Facultad
capista,1,capista
corruptissima,1,corruptissima
republica,1,republica
chapdiqui,1,chapdiqui
chapdiki,1,chapdiki
Christi,1,Christi
complice,1,complice
quema,1,quema
riquisa,1,riquisa
encontra,1,encontra
dice,1,dice
Loco,1,Loco
loco,1,loco
aquel,1,aquel
Conmigo,1,Conmigo
glacis,1,glacis
albacea,1,albacea
Corporaciones,1,Corporaciones
acuto,1,acuto
peccatum,1,peccatum
Quicumque,1,Quicumque
crederit,1,crederit
instructor,1,instructor
caballeria,1,caballeria
chagrin,1,chagrin
cornalina,1,cornalina
mercurio,1,mercurio
Lynch,1,Lynch
Velazquez,1,Velazquez
Chica,1,Chica
Psiquis,1,Psiquis
Cupido,1,Cupido
jacta,1,jacta
Thecel,1,Thecel
thecel,1,thecel
cuartilla,1,cuartilla
Castelar,1,Castelar
Sencia,1,Sencia
Credo,1,Credo
Capellan,1,Capellan
escondido,1,escondido
cogera,1,cogera
eunuco,1,eunuco
cloroformo,1,cloroformo
reclinatorio,1,reclinatorio
Cuba,1,Cuba
ACONG,1,ACONG
Castila,1,Castila
PASCUAL,1,PASCUAL
nacapaglicod,1,nacapaglicod
Catha,1,Catha
caulayawin,1,caulayawin
tatalicwasin,1,tatalicwasin
Cumatha,1,Cumatha
PAGCACAPISAN,1,PAGCACAPISAN
pagpapacain,1,pagpapacain
maguilas,1,maguilas
pagcalaganap,1,pagcalaganap
cakimiang,1,cakimiang
macacakitang,1,macacakitang
magcatao,1,magcatao
nacadalong,1,nacadalong
ipinaguiba,1,ipinaguiba
pakikipagcayari,1,pakikipagcayari
capacan,1,capacan
pagcapaliguan,1,pagcapaliguan
cucunan,1,cucunan
tagaiguib,1,tagaiguib
nacatutulig,1,nacatutulig
cacapitang,1,cacapitang
linalacara,1,linalacara
clin,1,clin
clan,1,clan
talucab,1,talucab
cumikindat,1,cumikindat
nacaiinip,1,nacaiinip
Namumucod,1,Namumucod
Paghuhucom,1,Paghuhucom
Renacimiento,1,Renacimiento
Capitana,1,Capitana
pagcacapinta,1,pagcacapinta
nabubuloc,1,nabubuloc
pagcacasipi,1,pagcacasipi
pagcacagana,1,pagcacagana
naguudyoc,1,naguudyoc
quizame,1,quizame
mangagsisicain,1,mangagsisicain
maguinhawahang,1,maguinhawahang
nacasasama,1,nacasasama
icaiilag,1,icaiilag
macacatagpo,1,macacatagpo
magpacahinhing,1,magpacahinhing
pinacaubod,1,pinacaubod
magpahalic,1,magpahalic
paglagapac,1,paglagapac
nangagcacainga,1,nangagcacainga
Umaaticabong,1,Umaaticabong
nangacatalicod,1,nangacatalicod
Duque,1,Duque
escalafon,1,escalafon
tangcay,1,tangcay
pinacatitimbang,1,pinacatitimbang
magcucumpas,1,magcucumpas
patricio,1,patricio
pagcahating,1,pagcahating
mamamangca,1,mamamangca
calcetin,1,calcetin
icakikita,1,icakikita
Mendicta,1,Mendicta
malingguit,1,malingguit
calakha,1,calakha
macaimic,1,macaimic
Acalain,1,Acalain
napacaningas,1,napacaningas
derechos,1,derechos
maicacait,1,maicacait
pagcadupilas,1,pagcadupilas
cabagayan,1,cabagayan
pagcacaalis,1,pagcacaalis
pagcatiguil,1,pagcatiguil
copita,1,copita
Nagcasiya,1,Nagcasiya
catimpian,1,catimpian
nasasacupan,1,nasasacupan
cainguitan,1,cainguitan
nacapagmalimit,1,nacapagmalimit
nacacain,1,nacacain
nacapagmamalimutin,1,nacapagmamalimutin
napacatangi,1,napacatangi
Cacaiba,1,Cacaiba
reverencia,1,reverencia
nacapagpipighati,1,nacapagpipighati
Camiling,1,Camiling
pinacabigyanbigyan,1,pinacabigyanbigyan
macatuid,1,macatuid
Napapahamac,1,Napapahamac
sumuntoc,1,sumuntoc
panuntoc,1,panuntoc
macapagparusa,1,macapagparusa
Calamidad,1,Calamidad
pinacacatawan,1,pinacacatawan
Roque,1,Roque
Tiguil,1,Tiguil
ibucod,1,ibucod
pagcasacerdote,1,pagcasacerdote
pagbabahagui,1,pagbabahagui
pagcacainitan,1,pagcacainitan
ipinahucay,1,ipinahucay
nacaalam,1,nacaalam
nabanguit,1,nabanguit
macapagpiguil,1,macapagpiguil
nacaacay,1,nacaacay
cailanganang,1,cailanganang
matutuclasan,1,matutuclasan
Schwartz,1,Schwartz
Chevas,1,Chevas
pagcacapagod,1,pagcacapagod
macapagcatawang,1,macapagcatawang
CRISOSTOMO,1,CRISOSTOMO
nacalimot,1,nacalimot
naghahalimuyac,1,naghahalimuyac
pagcapatira,1,pagcapatira
iniacmang,1,iniacmang
lacdangan,1,lacdangan
nangagcabilog,1,nangagcabilog
nacapagpanatili,1,nacapagpanatili
ipamalingcahod,1,ipamalingcahod
tamatacbo,1,tamatacbo
pechera,1,pechera
nakipagcamay,1,nakipagcamay
pauunlacan,1,pauunlacan
Cafe,1,Cafe
nagpapamanhic,1,nagpapamanhic
Cagulatgulat,1,Cagulatgulat
sinisicaran,1,sinisicaran
nilalacaran,1,nilalacaran
Pinacunot,1,Pinacunot
natapacang,1,natapacang
macapagtamo,1,macapagtamo
Cedant,1,Cedant
cedant,1,cedant
cotae,1,cotae
magpacagambala,1,magpacagambala
nacaalaala,1,nacaalaala
natiticiman,1,natiticiman
Benedicte,1,Benedicte
pagcalibang,1,pagcalibang
polacong,1,polacong
pagcatanda,1,pagcatanda
mapagcamal,1,mapagcamal
pagcacakilalanan,1,pagcacakilalanan
pinaglalacbayan,1,pinaglalacbayan
Celeste,1,Celeste
nalacbay,1,nalacbay
ipangguilalas,1,ipangguilalas
ibubucod,1,ibubucod
iguiniguinhawa,1,iguiniguinhawa
pagkataca,1,pagkataca
nagpiguil,1,nagpiguil
magtataca,1,magtataca
pinacamahalaga,1,pinacamahalaga
matungcol,1,matungcol
copitang,1,copitang
ipinagcucucumpas,1,ipinagcucucumpas
nacucuha,1,nacucuha
nakikicampi,1,nakikicampi
pagcucunot,1,pagcucunot
pagcacabangguit,1,pagcacabangguit
pagcacayapac,1,pagcacayapac
encañonado,1,encañonado
Coloniales,1,Coloniales
macahihilahil,1,macahihilahil
macapagpapasimula,1,macapagpapasimula
calesang,1,calesang
pagcacahuwad,1,pagcacahuwad
caratulang,1,caratulang
pinagbalibalicuco,1,pinagbalibalicuco
pagcaturong,1,pagcaturong
Cahangahanga,1,Cahangahanga
pagcalagay,1,pagcalagay
nacahiwalay,1,nacahiwalay
linilicuan,1,linilicuan
capanatilihan,1,capanatilihan
pinacamahal,1,pinacamahal
ipinagtatacang,1,ipinagtatacang
benebendicionan,1,benebendicionan
Cumapit,1,Cumapit
kinaiinguitan,1,kinaiinguitan
camurahan,1,camurahan
pagcabanal,1,pagcabanal
nangagcucumpisal,1,nangagcucumpisal
nangagpapacumpisal,1,nangagpapacumpisal
cahigpithigpitang,1,cahigpithigpitang
matacot,1,matacot
Catowiran,1,Catowiran
composicion,1,composicion
casawian,1,casawian
ipanumbalic,1,ipanumbalic
cahahangganan,1,cahahangganan
camangmangang,1,camangmangang
macasisira,1,macasisira
Pinaglilibacan,1,Pinaglilibacan
patumbalic,1,patumbalic
nagpapaconwari,1,nagpapaconwari
masasaclap,1,masasaclap
cairingang,1,cairingang
nacacasingil,1,nacacasingil
nangagtacbuhan,1,nangagtacbuhan
nagcacanulo,1,nagcacanulo
pagtutulac,1,pagtutulac
Sumuca,1,Sumuca
Kinucunan,1,Kinucunan
malicong,1,malicong
congestion,1,congestion
nangagpahamac,1,nangagpahamac
casuclaman,1,casuclaman
chiilado,1,chiilado
tumanggui,1,tumanggui
sacsing,1,sacsing
pagcacalaban,1,pagcacalaban
nangamcam,1,nangamcam
caluguihang,1,caluguihang
nakikipagcaibigan,1,nakikipagcaibigan
nagcacawatasang,1,nagcacawatasang
alcade,1,alcade
nacagagamot,1,nacagagamot
cumikibo,1,cumikibo
calabozo,1,calabozo
nasadacong,1,nasadacong
tinatapacan,1,tinatapacan
guinagalaw,1,guinagalaw
nangagpapaliguidliguid,1,nangagpapaliguidliguid
nangagcucumpasan,1,nangagcucumpasan
nasacaluwalhatian,1,nasacaluwalhatian
napacaputi,1,napacaputi
calinislinisan,1,calinislinisan
Nacuculong,1,Nacuculong
casuclamsuclam,1,casuclamsuclam
pagcacatowa,1,pagcacatowa
talaoc,1,talaoc
celda,1,celda
CAPITANG,1,CAPITANG
pagmamascada,1,pagmamascada
pagcacatimbang,1,pagcacatimbang
pananabaco,1,pananabaco
hacendero,1,hacendero
caligaligayang,1,caligaligayang
Casundo,1,Casundo
pagcapangahas,1,pagcapangahas
pangangatungculang,1,pangangatungculang
particular,1,particular
macacamtan,1,macacamtan
macagalit,1,macagalit
pagcaguipit,1,pagcaguipit
macapagdarasal,1,macapagdarasal
hebraica,1,hebraica
caguipita,1,caguipita
pinangangacuan,1,pinangangacuan
guinaganapan,1,guinaganapan
caliliitang,1,caliliitang
cuero,1,cuero
calambutan,1,calambutan
casindacsindac,1,casindacsindac
napacacasal,1,napacacasal
Sacra,1,Sacra
Luciang,1,Luciang
nacapinta,1,nacapinta
sarcofago,1,sarcofago
tricornio,1,tricornio
muñeca,1,muñeca
macapaghihimalang,1,macapaghihimalang
cornetin,1,cornetin
biyac,1,biyac
Malco,1,Malco
napapahindic,1,napapahindic
tumatalaoc,1,tumatalaoc
nacatuntong,1,nacatuntong
dorico,1,dorico
macabibilang,1,macabibilang
magcacasiyang,1,magcacasiyang
ikinacagat,1,ikinacagat
Mamacailan,1,Mamacailan
pagcapangitpangit,1,pagcapangitpangit
pagcacagawang,1,pagcacagawang
Casabihang,1,Casabihang
naacala,1,naacala
santinacpan,1,santinacpan
capol,1,capol
sinasactan,1,sinasactan
pagcaawa,1,pagcaawa
pinagcacagulan,1,pinagcacagulan
graciang,1,graciang
Mahiguithiguit,1,Mahiguithiguit
babalacbalakin,1,babalacbalakin
makipaghamoc,1,makipaghamoc
pinacacaing,1,pinacacaing
cirio,1,cirio
achoy,1,achoy
celadon,1,celadon
pagcapalihis,1,pagcapalihis
pimimintacasi,1,pimimintacasi
magcacandilang,1,magcacandilang
calagyo,1,calagyo
capanganacan,1,capanganacan
mapagsicap,1,mapagsicap
nacasira,1,nacasira
guinugulo,1,guinugulo
cahangahangang,1,cahangahangang
pagcamatimtimang,1,pagcamatimtimang
tacon,1,tacon
maipatungcol,1,maipatungcol
pagcacahulog,1,pagcacahulog
caaanac,1,caaanac
guinagaling,1,guinagaling
Capangpangang,1,Capangpangang
topacio,1,topacio
arco,1,arco
guinagamitan,1,guinagamitan
catapustapusa,1,catapustapusa
iguinupo,1,iguinupo
titiguil,1,titiguil
paglilincod,1,paglilincod
ipinagcasanggalang,1,ipinagcasanggalang
pagcapit,1,pagcapit
Patrociniong,1,Patrociniong
canonizada,1,canonizada
nacaraa,1,nacaraa
aasucal,1,aasucal
Santiaguillo,1,Santiaguillo
logico,1,logico
Logica,1,Logica
nagtatangkilic,1,nagtatangkilic
pagcaguinoo,1,pagcaguinoo
azucal,1,azucal
nagcacaanac,1,nagcacaanac
Caysasay,1,Caysasay
nagcacaloob,1,nagcacaloob
Macbeth,1,Macbeth
pagcapanganac,1,pagcapanganac
buhac,1,buhac
catowatowang,1,catowatowang
bulac,1,bulac
pinacaiirog,1,pinacaiirog
cahibangan,1,cahibangan
pacapurihin,1,pacapurihin
umadhica,1,umadhica
calaro,1,calaro
Crisotomo,1,Crisotomo
canicanicalang,1,canicanicalang
pagpapacasal,1,pagpapacasal
Salvacion,1,Salvacion
nacaaalis,1,nacaaalis
ipinangguilalas,1,ipinangguilalas
macapagcucruz,1,macapagcucruz
macakilala,1,macakilala
nangagpapacaba,1,nangagpapacaba
casisinta,1,casisinta
macapagpaalam,1,macapagpaalam
calungcutang,1,calungcutang
nacagagaling,1,nacagagaling
iniwacsi,1,iniwacsi
cumacabang,1,cumacabang
tucso,1,tucso
nagculong,1,nagculong
macagulo,1,macagulo
nangangalagcag,1,nangangalagcag
sancap,1,sancap
catowaang,1,catowaang
cefiro,1,cefiro
nahahawacan,1,nahahawacan
magcacanacion,1,magcacanacion
nacapagtatawa,1,nacapagtatawa
paglalacba,1,paglalacba
Pagcaramiraming,1,Pagcaramiraming
nagcaina,1,nagcaina
cumikidlat,1,cumikidlat
casamasama,1,casamasama
cumacatcat,1,cumacatcat
pagcacapisan,1,pagcacapisan
nacapagpapaningning,1,nacapagpapaningning
caparangang,1,caparangang
sinasacang,1,sinasacang
encina,1,encina
nacalulusot,1,nacalulusot
cadalisaya,1,cadalisaya
cataasa,1,cataasa
Andaluciang,1,Andaluciang
casilanganan,1,casilanganan
nagtutuca,1,nagtutuca
siclot,1,siclot
sintac,1,sintac
inilalacas,1,inilalacas
Napacamagdaraya,1,Napacamagdaraya
chongca,1,chongca
pagcamagdaraya,1,pagcamagdaraya
pagcacasundo,1,pagcacasundo
masubucan,1,masubucan
Caguinsaguinsa,1,Caguinsaguinsa
Cloe,1,Cloe
pinucpoc,1,pinucpoc
nagcasundo,1,nagcasundo
cabulaanan,1,cabulaanan
malicot,1,malicot
makapaglingcod,1,makapaglingcod
Nacapagpasakit,1,Nacapagpasakit
wiwica,1,wiwica
Bumubucas,1,Bumubucas
cumuculo,1,cumuculo
Napatiguil,1,Napatiguil
pagcaligalig,1,pagcaligalig
nagcuculong,1,nagcuculong
naglalaco,1,naglalaco
cargador,1,cargador
calugcog,1,calugcog
tumitilamsic,1,tumitilamsic
maiicli,1,maiicli
tocong,1,tocong
macasakit,1,macasakit
pagcacacabit,1,pagcacacabit
Matatangcad,1,Matatangcad
pagcca,1,pagcca
hinahaguisan,1,hinahaguisan
nacacalas,1,nacacalas
catanghalian,1,catanghalian
ibinabagsac,1,ibinabagsac
nacabulagta,1,nacabulagta
canicanila,1,canicanila
linipacan,1,linipacan
pagcacuyagutin,1,pagcacuyagutin
cariatide,1,cariatide
maguiguinaw,1,maguiguinaw
nacacatucatulog,1,nacacatucatulog
pagcacaupo,1,pagcacaupo
casacay,1,casacay
macababa,1,macababa
fabrica,1,fabrica
Arroceros,1,Arroceros
pagpucpoc,1,pagpucpoc
nacapaghatid,1,nacapaghatid
nacacapahamac,1,nacacapahamac
mapabucas,1,mapabucas
Botanicong,1,Botanicong
sumasacagaraan,1,sumasacagaraan
nangaglilicat,1,nangaglilicat
nagsisipanaguinip,1,nagsisipanaguinip
cabiguan,1,cabiguan
nangagsitacas,1,nangagsitacas
namumucod,1,namumucod
nasacatuwiran,1,nasacatuwiran
nangagculabo,1,nangagculabo
calimutang,1,calimutang
nacarurungis,1,nacarurungis
caballeriang,1,caballeriang
nangacucubli,1,nangacucubli
nacasasalubong,1,nacasasalubong
carromatang,1,carromatang
guarnicion,1,guarnicion
abaca,1,abaca
carromatero,1,carromatero
nacawawala,1,nacawawala
maalicaboc,1,maalicaboc
calairit,1,calairit
napacabanayad,1,napacabanayad
nagpapatacbo,1,nagpapatacbo
lipac,1,lipac
nagpapaguiray,1,nagpapaguiray
guiray,1,guiray
CAUGALIAN,1,CAUGALIAN
victoriang,1,victoriang
caiiwan,1,caiiwan
mangagsisisacay,1,mangagsisisacay
Cucunin,1,Cucunin
nagtaca,1,nagtaca
sacay,1,sacay
nacaimic,1,nacaimic
napacalaking,1,napacalaking
pagcapasoc,1,pagcapasoc
pagcapagmisa,1,pagcapagmisa
Procuracion,1,Procuracion
tumuctoc,1,tumuctoc
nacapagdaragdag,1,nacapagdaragdag
nacahalukipkip,1,nacahalukipkip
ipinagcatiwalang,1,ipinagcatiwalang
cabulastigan,1,cabulastigan
nagcacangpapagal,1,nagcacangpapagal
Manacatili,1,Manacatili
casakima,1,casakima
