token,count,example_contexts,chapters
Sacristia,2,"—ang ibinulong, at nagtuloy siya sa daang Sacristia. | At naroroon pa nga't nacahiwalay ang bato sa ""acera"" ng linilicuan ng daang San Jacinto at daang Sacristia.",noli:4
acera,2,"At naroroon pa nga't nacahiwalay ang bato sa ""acera"" ng linilicuan ng daang San Jacinto at daang Sacristia. | Dalawang araw lamang sunod na uminit, ang mga daa'y naguiguing alaboc ng tumatakip sa lahat, nag-papaubo at bumubulag sa mga naglalacad: isang araw lamang umulan ay naguiguing lawa na, ano pa't kung gabi ay naaanino roon ang mga farol ng mga coche at tumitilamsic buhat sa limang metrong layo sa mga naglalacad sa mga makikipot na mga acera.","noli:8,noli:4"
catacatacang,2,"Samantalang pinanonood niya ang catacatacang pananatiling ito ng mga bahay at iba pa sa bayan ng walang capanatilihan, marahang dumapo sa canyang balicat ang isang kamay; tumunghay siya'y canyang nakita ang matandang Teniente na minamasdang siyang halos nacangiti: hindi na taglay ng militar yaong mabalasic niyang pagmumukha, at wala na sa kanya yaong mga kilay na totoong canyang ikinatatangi sa iba. | Puspos ng catacatacang cagandahan si Maria Clara: napawi ang canyang pamumutla, at kung nananatiling tila may iniisip ang canyang mga mata, ang canyang bibig naman ay wari'y walang ibang nakikilala kung hindi ang ngiti.","noli:27,noli:4"
magpacaingat,2,"—¡Bagongtao, magpacaingat kayo! | Gayon ma'y dapat kayong magpacaingat sa hinaharap na panahon; nakipagtunggali kayo ng paharapan sa mga capisanang dahil sa kanilang cahulugan at cayamana'y kinacailangang siya'y igalang.","noli:4,noli:37"
caiclian,2,"Ang walang licat na paghahalihalili, ang capangitan ng asal ng mga matataas na puno, ang mga pagtatangkilic sa di marapat, ang camurahan at ang caiclian ng paglalacbay-bayan, ang siyang may sala ng lahat; pumaparito ang lalong masasama sa Peninsula, at kung may isang mabait na maparito, hindi nalalao't pagdaca'y pinasasama ng mga tagarito rin. | —ang ipinagpatuloy,—natatandaang kong may isang bato sa tabi; may caiclian ang hucay niyao'y may sakit ang maglilibing, kaya't isang kasama ang siyang napilitang humucay datapwat itatanong natin sa kanya kung ano ang ginawa sa cruz.","noli:13,noli:4"
nagcucumpisal,2,"Binibigyang casalanan siya ni pari Damasong hindi raw siya nagcucumpisal: ng una'y dating hindi siya nangungumpisal, gayon ma'y magcaibigan silang matalic, na marahil natatandaan pa po ninyo. | —""Madalas na siya'y natitigagal at anaki'y nakalilimot samantalang nagmimisa; hindi na lubhang nakikipagsalitaan sa amin, at kitangkita ang canyang pagyayat at ang canyang pagkawalang catiwasayan ng loob,""—ang sabihan ng mga nagcucumpisal sa kanya.","noli:4,noli:22"
atricion,2,"Bucod sa rito'y totoong dalisay ang capurihan ni Don Rafael, at higuit ang canyang pagkabanal sa maraming nangagcucumpisal at nangagpapacumpisal: may tinutunton siya sa canyang sariling isang cahigpithigpitang pagsunod sa atas ng magandang asal, at madalas sabihin sa akin, pagka nasasalita niya ang mga samaang ito ng loob: ""Ginoong Guevara, ¿sinasampalatayanan po ba ninyong pinatatawad ng Dios ang isang mabigat na casalanan, ang isang kusang pagpatay sa capuwa tao, sa halimbawa, pagka, nasabi na sa isang sacerdote; na tao rin namang may catungculang maglihim ng sa kanya'y sinasaysay, at matacot masanag sa infierno, na siyang tinatawag na pagsisising ""atricion""? | Gamitin mo ang pighating ""contricion"" sa pagka't lalong magaling kay sa ""atricion.","noli:44,noli:4"
nacararagdag,2,"Pinaglilibacan ang culang palad, na pinagbabayaran ng cahihiyan ang nasisingil na buwis, at nalalaman niyang siya ang hantungan ng libac, at ang bagay na ito'y lalong nacararagdag ng dating masama at magaspang niyang caugalian. | Ang canyang mga buhoc na nacaliliguid sa mukha niyang tabas itlog ang nacararagdag ng gayong nanganganinag na pamumutla, na binibigyang buhay lamang ng malalaking mga matang puspos ng calungcutan.","noli:4,noli:42"
nanasoc,2,"Nangyari isang araw, na samantalang pinagpipihitpihit niya ang isang papel na ibinigay sa kanya sa isang tindahan, at ibig niyang malagay sa tuwid, nagpasimulang kinawayan ang canyang mga casamahan ng isang batang nanasoc sa escuela, magtawa at ituro siya ng daliri. | Nang ang baya'y wala kung di isang walang halagang tumpoc ng mga dampa, at saganang sumisibol pa sa pinacalansangan ang damo; ng panahong yaong pagkagabi ay nanasoc doon ang mga usa at mga baboy-ramo, dumating isang araw ang isang matandang castilang malalalim ang mga mata at totoong magaling magwicang tagalog.","noli:4,noli:10"
pinagtatadyacan,2,""" Pinagdimlan ng galit, at sa pagka't hindi siya mang-abot, sa kanila'y inihalibas ang canyang baston, tinamaan ang isa sa ulo at nabulagta; ng magcagayo'y hinandulong ang nasusubasob at pinagtatadyacan, at alin man sa nangagsisipanood na nanglilibac ay hindi nagcaroon ng tapang na mamag-itan. | Sumigaw ang cura't binitiwan ang yantoc; humawac ang sacristan mayor ng isang baston at pinalo sa ulo si Crispin, natimbuang ang bata sa pagkatulig; ng makita ng curang siya'y may sugat ay pinagtatadyacan si Crispin; ngunit ito'y hindi na nagsasanggalang, hindi na sumisigaw: gumugulong sa tablang parang isang bagay na hindi nacacaramdam at nag-iiwan ng bacas na basa ...","noli:17,noli:4"
nanglilibac,2,""" Pinagdimlan ng galit, at sa pagka't hindi siya mang-abot, sa kanila'y inihalibas ang canyang baston, tinamaan ang isa sa ulo at nabulagta; ng magcagayo'y hinandulong ang nasusubasob at pinagtatadyacan, at alin man sa nangagsisipanood na nanglilibac ay hindi nagcaroon ng tapang na mamag-itan. | —Ang buong isip ko,—ang ipinagpatuloy ni pari Salvi, na ang anyo'y wari nanglilibac;—ay nalalaman po ninyo ang nangyayari.","noli:4,noli:24"
pinagwicaan,2,"Napoot sa nangyari, tinacbo ang maniningil na kastila, hinawacan siya sa brazo at pinagwicaan siya ng mabibigat. | Namasid din ng taga bukid na may mga bunga rin ng tingloy (amorseco) ang salawal at ang mga manggas ng baro ng natutulog, na sa cawacasa'y naguising, kinusot ang tanging matang canyang nagagamit, at may galit na pinagwicaan ang taong iyon.","noli:55,noli:4"
vascongado,2,"Ang castilang marahil ang tingin sa lahat ay mapula na, ibinuhat ang kamay, ngunit hindi siya binigyang panahon ng inyong ama, at taglay iyang lacas na nagcacanulo ng pagka siya'y apo ng mga vascongado ... anang iba'y sinuntoc daw, anang iba nama'y nagcasiya, na lamang sa pagtutulac sa kanya; datapwat ang nangyari'y ang tao'y umuga, napalayo ng ilang hacbang at natumbang tumama, ang ulo sa bato. | —¿Siya po ba'y vascongado?","noli:4,noli:54"
sinuntoc,2,"Ang castilang marahil ang tingin sa lahat ay mapula na, ibinuhat ang kamay, ngunit hindi siya binigyang panahon ng inyong ama, at taglay iyang lacas na nagcacanulo ng pagka siya'y apo ng mga vascongado ... anang iba'y sinuntoc daw, anang iba nama'y nagcasiya, na lamang sa pagtutulac sa kanya; datapwat ang nangyari'y ang tao'y umuga, napalayo ng ilang hacbang at natumbang tumama, ang ulo sa bato. | ¿Muli bang sinuntoc ang coadjutor?","noli:4,noli:35"
periodicong,2,"Isinumbong na siya'y tumatanggap ng ""El Correo de Ultramar"" at ng mga periodicong galing sa Madrid; isinumbong siya, dahil sa pagpapadala sa inyo sa Suiza alemana; dahil sa siya'y nasamsaman ng mga sulat at ng larawan ng isang paring binitay, at iba pang hindi ko maalaman. | Kaya nga't ipinalalagay ng mga punong macapangyarihang siya'y isang magaling na tao, cagandagandahan ang puso, payapa, mapagpacumbaba, masunurin, mapagpakitang loob, na hindi bumabasa ng ano mang libro o periodicong galing sa España, baga man magaling mag-wikang kastila; ang tingin sa kanya, nila'y tulad sa pagmamasid ng isang abang estudiante sa gasgas na tacon ng canyang luma ng zapato, pakiling dahil sa anyo ng canyang paglacad:—Naguiguing katotohanan, sa kalagayan niya, ang casabihan ng mga cristianong ""beati pauperis spiritu"" at ang caraniwang casabihang ""beati possidentes"", at mangyayaring maipatungcol sa kanya yaong mga sabing griego na anang iba'y mali ang pagkakahulog sa wikang kastila: ""¡Gloria a Dios en las alturas y paz a los hombres de buena voluntad""!","noli:4,noli:6"
pinacacain,2,"Ako man, sacali't malaki ang aking casuclaman sa pagluhog sa paggawa ng magaling nino man, humarap ako sa Capitan General, sa hinalinhan ng ating Capitan General ngayon; ipinaliwanag ko sa canyang hindi mangyayaring maguing ""filibustero"" ang tumatangkilik sa lahat ng castilang dukha o naglalacbay rito, na pinatutuloy sa canyang bahay at pinacacain at ang sa canyang mga ugat ay tumatacbo pa ang mapagcandiling dugong kastila; ¡nawalang cabuluhang isagot ko ang aking ulo, at ang manumpa ako sa aking carukhaan at sa aking capurihang militar, at wala ako ng nasunduan kung di magpakita sa akin ng masamang pagtanggap, pagpakitaan ako ng lalong masama sa aking pagpapaalam at ang pamagatan ako ng ""chiilado""! | —¡Siya nga po; hindi po ako pinacacain ng aking biyanang babae kung di iyong mga buloc at wala ng cabuluhan; cagabi, ng ako'y umuwi rito'y sumakit ang aking tiyan, nakita kong na sa malapit ang patio ng cuartel, at aking sinabi sa sarili;—Ngayo'y gabi, hindi ka makikita nino man.","noli:56,noli:4"
mapagcandiling,2,"Ako man, sacali't malaki ang aking casuclaman sa pagluhog sa paggawa ng magaling nino man, humarap ako sa Capitan General, sa hinalinhan ng ating Capitan General ngayon; ipinaliwanag ko sa canyang hindi mangyayaring maguing ""filibustero"" ang tumatangkilik sa lahat ng castilang dukha o naglalacbay rito, na pinatutuloy sa canyang bahay at pinacacain at ang sa canyang mga ugat ay tumatacbo pa ang mapagcandiling dugong kastila; ¡nawalang cabuluhang isagot ko ang aking ulo, at ang manumpa ako sa aking carukhaan at sa aking capurihang militar, at wala ako ng nasunduan kung di magpakita sa akin ng masamang pagtanggap, pagpakitaan ako ng lalong masama sa aking pagpapaalam at ang pamagatan ako ng ""chiilado""! | At ang lahat ng pagsusumicap na ito at itong lahat na pagpapagal ay dahil sa panauhing kilala o hindi kilala; ang cadahilana'y ng pagpakitaan ng magandang loob ang taong marahil ay hindi pa nakikita kailan man, at marahil kailan man ay hindi na pakikita pagkatapos; ng ang tagaibang bayan, ang naglalacbay-bayan, ang kaibigan, ang kaaway, ang filipino, ang kastila, ang dukha, ang mayaman ay umalis doon pagkatapos ng fiestang natutuwa at walang maipintas: hindi man lamang hinihingi sa kanilang cumilala ng utang na loob, at hindi hinihintay sa mga panauhing yaong huwag gumawa ng ano mang isasama ng mapagcandiling magcacasambahay samantalang tinutunaw o kung matunaw na sa tiyan ang kanilang kinain.","noli:26,noli:4"
cahatulang,2,"At ng matatapos na ang lahat, ng malapit ng tamuhin niya, ang cahatulang siya'y walang casalanan, at hindi catotohanang siya'y kaaway ng Bayang España, at di siya, ang may sala ng pagkamatay ng maniningil, namatay sa bilangguang wala sino man sa canyang tabi. | —Kahi't anong dami ng mga kinacatawan ng Dios sa lupa'y hindi mangyayari, sa macatuwid baga'y hindi sinasabi ng buong caliwanagan ang canyang pasya upang mabigyang cahatulang ang yutayutang mga pagaalit-alit na ibinabalangcas ng mga hidwa nating budhi.","noli:4,noli:33"
cuerdas,2,"Totoong maliwanag, sa caramihan ng ilaw, ang catapat na bahay sa cabilang ibayo, at dumarating hanggang sa canyang ""cuarto"" ang mga masasayang tinig ng mga instrumentong may cuerdas ang caramihan. | ¡pinaglalaruan ang iyong puso ng mga magagaspang na mga kamay na hindi nacakikilala ng canyang mga maseselang na mga cuerdas!","noli:36,noli:5"
cahimahimalang,2,"—Kung hindi totoong gulo ang canyang isip, at kung siya sana'y maibiguing macaalam ng mga ginagawa ng capowa tao'y marahil ninais niyang mapanood, sa pamamag-itan ng isang gemelos, ang nangyayari sa kinalalagyan ng gayong caliwanagan; marahil canyang hinangaan ang isa, riyan sa mga cahimahimalang napapanood, isa riyan sa mga talinghagang napakikita, na maminsanminsang natitingnan sa mga malalaking teatro sa Europa, na sa marahan at caayaayang tinig ng orquesta ay nakikitang sumisilang sa gitna ng isang ulan ng ilaw, ng isang bumubugsong agos ng mga diamante at guinto, sa isang carikitdikitang mga pamuti, nababalot ng lubhang manipis at nanganganinag na gasa ang isang diosa, ang isang ""silfide"" na lumalacad na halos hindi sumasayad ang paa sa tinatapacan, naliliguid at inagaapayanan ng maningning na sinag: sa canyang pagdating ay kusang sumisilang ang mga bulaclac, nagbibigay galac, ang mga sayaw, nangapupucaw ang matimyas na tugtugan, at ang mga pulutong ng mga diablo, mga ninfa, mga satiro, mga genio, mga zagala, mga angel mga pastor ay sumasayaw, guinagalaw ang mga pandereta, nangagpapaliguidliguid at inihahandog ng bawa't isa sa paanan ng diosa ang canicanilang alay. | Macailang ang buong isip ko'y aking naririnig ang mga tunog ng iyong piano at ang mga tinig ng iyong voces, at kailan mang tinatawag ko ang iyong pangalan ng ako'y na sa Alemania, sa dakong hapon, pagka naglalacad ako sa mga caparangang napupuspos ng mga talinghagang likha ng mga poeta roon at ang mga cahimahimalang salitsaling sabi ng mga taong nangaunang nabuhay, nakikinikinita ko ikaw sa ulap na sumisilang at napaiimbulog sa duyo ng capatagan, wari nariringig ko ang iyong voces sa pagaspas ng mga dahon, at pagka umuuwi na ang mga tagabukid na galing sa kanilang sinasacang lupa at kanilang ipinariringig buhat sa malayo ang kanilang caraniwang mga awit, sa aking acala'y pawang nakikisaliw sila sa mga voces ng caibuturan ng aking dibdib, na nag-aalay na lahat sa iyo ng awit at siyang nagbibigay katotohanan sa aking mga nais at mga panaguimpan.","noli:7,noli:5"
carikitdikitang,2,"—Kung hindi totoong gulo ang canyang isip, at kung siya sana'y maibiguing macaalam ng mga ginagawa ng capowa tao'y marahil ninais niyang mapanood, sa pamamag-itan ng isang gemelos, ang nangyayari sa kinalalagyan ng gayong caliwanagan; marahil canyang hinangaan ang isa, riyan sa mga cahimahimalang napapanood, isa riyan sa mga talinghagang napakikita, na maminsanminsang natitingnan sa mga malalaking teatro sa Europa, na sa marahan at caayaayang tinig ng orquesta ay nakikitang sumisilang sa gitna ng isang ulan ng ilaw, ng isang bumubugsong agos ng mga diamante at guinto, sa isang carikitdikitang mga pamuti, nababalot ng lubhang manipis at nanganganinag na gasa ang isang diosa, ang isang ""silfide"" na lumalacad na halos hindi sumasayad ang paa sa tinatapacan, naliliguid at inagaapayanan ng maningning na sinag: sa canyang pagdating ay kusang sumisilang ang mga bulaclac, nagbibigay galac, ang mga sayaw, nangapupucaw ang matimyas na tugtugan, at ang mga pulutong ng mga diablo, mga ninfa, mga satiro, mga genio, mga zagala, mga angel mga pastor ay sumasayaw, guinagalaw ang mga pandereta, nangagpapaliguidliguid at inihahandog ng bawa't isa sa paanan ng diosa ang canicanilang alay. | Sumusunod sa kanilang licuran ang mga cirial na pilac, ang caguinoohan ng bayan, ang mahahalagang mga larawang nasusuutan ng sutlang raso at guinto ni na Santo Domingo at San Diego, at ng Virgen de la Paz na may isang carikitdikitang balabal (manto) na azul at may mga planchang pilac na dinorado, handog ng banal na kapitang paradong si don Santiago de los Santos, na totoong carapatdapat uliranin at hindi casiya ang siya'y ibantog magpacailan man.","noli:28,noli:5"
nangapupucaw,2,"—Kung hindi totoong gulo ang canyang isip, at kung siya sana'y maibiguing macaalam ng mga ginagawa ng capowa tao'y marahil ninais niyang mapanood, sa pamamag-itan ng isang gemelos, ang nangyayari sa kinalalagyan ng gayong caliwanagan; marahil canyang hinangaan ang isa, riyan sa mga cahimahimalang napapanood, isa riyan sa mga talinghagang napakikita, na maminsanminsang natitingnan sa mga malalaking teatro sa Europa, na sa marahan at caayaayang tinig ng orquesta ay nakikitang sumisilang sa gitna ng isang ulan ng ilaw, ng isang bumubugsong agos ng mga diamante at guinto, sa isang carikitdikitang mga pamuti, nababalot ng lubhang manipis at nanganganinag na gasa ang isang diosa, ang isang ""silfide"" na lumalacad na halos hindi sumasayad ang paa sa tinatapacan, naliliguid at inagaapayanan ng maningning na sinag: sa canyang pagdating ay kusang sumisilang ang mga bulaclac, nagbibigay galac, ang mga sayaw, nangapupucaw ang matimyas na tugtugan, at ang mga pulutong ng mga diablo, mga ninfa, mga satiro, mga genio, mga zagala, mga angel mga pastor ay sumasayaw, guinagalaw ang mga pandereta, nangagpapaliguidliguid at inihahandog ng bawa't isa sa paanan ng diosa ang canicanilang alay. | Nangagliliparan ang mga ibong nangapupucaw sa kanilang pagtulog; nangagpapalipatlipat sa sa isa't isang sanga, nangaghuhunihan ng matataos na tinig at tinititigan siya ng mabibilog na mga mata ng nangaglalakihang mga paniki, mga kuwago at mga sabucot.","noli:54,noli:5"
cumikislap,2,"Na sa tabi ng diosang iyon si pari Damaso, at si pari Damaso'y ngumingiting katulad ng isang nasacaluwalhatian; si Fr. Sibyla ay nakikipagsalitaan sa kanya, at iniaayos ni Doña Victorina sa canyang pagkagandagandang buhoc ang isang tuhog na mga perla at mga brillante, na cumikislap ng sarisaring kinang ng culay ng bahaghari. | ""¡Nagniningning at cumikislap ang altar, malapad ang malaking pinto, ang hangin ang sasacyan ng santong wica ng Dios na bubucal sa aking bibig, pakinggan nga ninyo ng mga pangdingig ng kaluluwa at ng puso at ng hindi mangalaglag ang mga salita ng Panginoon sa lupang batuhan at canin ng mga ibon sa Infierno, kung di ang kayo'y lumago at sumibol na katulad ng isang santong binhi sa linang ng ating cagalanggalang at huwad sa serafing Amang si San Francisco!","noli:31,noli:5"
camukha,2,"¡ang binata'y camukha niya at canyang pangalan ang pangalang ipinangungusap na casabay ang tangis! | Tingnan na nga lamang ninyo ang aking si Andoy, ¡tingnan ninyo siya kung di camukha na ni San Vicente!","noli:34,noli:5"
nacasisira,2,"Ang bao ng canyang ulong bilog, maliit at nalalaganapan ng buhoc na casing itim ng luyong, mahaba sa dakong harapan at totoong maicli sa licuran; hindi nagbabago kailan man ng anyo ang canyang mga matang maliliit man ay di singkit na gaya ng sa insic, mahayap na hindi sapat ang canyang ilong, at kung hindi sana pumangit ang canyang bibig, dahil sa napacalabis na pagmamascada niya at pagnganga, na sinisimpan ang sapa sa isang pisngi, na siyang nacasisira ng pagkakatimbang ng tabas ng mukha, masasabi naming totoong magaling ang canyang paniniwala at pagpapasampalatayang siya'y magandang lalaki. | Ang mga pamamalo, sa halimbawa, na buhat sa caunaunahang mula'y siyang saguisag ng mga escuelahan, at ang isip ko ng una'y siyang tanging paraang lalong malacas sa pagkatuto,—binihasa tayo sa ganyang ang paniniwala,—aking napagwari ng matapos, na di lamang hindi nacatutulong ng pagsulong ng bata sa pag-aaral, kung di bagcos pang nacasisira sa kanya ng di ano lamang.","noli:19,noli:6"
Capampangan,2,"Ipinalalagay na siya'y isa sa mga lalong mga mayayamang ""propietario"" sa Binundoc, at isa sa lalong mga pangulong ""hacendero"", dahil sa canyang mga lupa sa Capampangan at sa Laguna ng Bay, lalonglalo na sa bayan ng San Diego, na doo'y itinataas taon taon ang buwis ng lupa. | Sa Binundoc, sa Capampangan at sa bayan ng San Diego: pagka magsasabong ng manoc na may malalaking pustahan, nagpapadala siya sa cura ng mga salaping guintong ucol sa mga misang sa kanya'y magpapala, at tulad sa mga romanong nangagtatanong muna sa kanilang mga ""augur"" bago makipaghamoc, na pinacacaing magaling ang kanilang mga sisiw na iguinagalang; pinagtatanungan din ni Kapitang Tiago ang canyang sariling mga ""augur""; ngunit taglay ang mga pagbabagong hatol ng mga panahon at ng mga bagong katotohanan.",noli:6
ipinagcacatiwala,2,""" Casundo niya ang lahat ng mga pinuno, matalino, magaling makibagay at may pagkapangahas, pagka nauucol sa pagsasamantala ng mga pagka ilang ng iba; siya ang tanging pinanganganibang capangagaw ng isang nagngangalang Perez, tungkol sa mga ""arriendo"" at mga ""subasta"" ng mga sagutin o pangangatungculang sa towi na'y ipinagcacatiwala ng Gobierno ng Filipinas sa mga kamay ng mga ""particular"". | Hindi naghahangad ang Gobiernong siya'y magtamo sa hinaharap na panahon ng sariling lacas na sagana, siya'y isang bisig lamang, sa macatuwid ay tagaganap; ang ulo'y ang convento, sa macatuwid ay siyang tagapag-utos, at sa ganitong hindi niya pagkilos, nagpapaubaya siyang siya'y caladcarin sa magcabicabilang banging malalalim, siya'y naguiguing lilim lamang, nawawal-an siyang cabuluhan, at sa canyang cahinaan at casalatan sa kaya'y ipinagcacatiwala niyang lahat sa mga kamay na upahan.","noli:6,noli:25"
macababasa,2,"Lumalang ang Dios, sa canyang walang hanggang cabaitan, ng mga dukha, sa iguiguinhawa ng mga mayayaman, mga dukhang sa halagang piso'y macapagdarasal ng kahi't labing anim na mga misterio at macababasa ng lahat ng mga santong libro, hanggang sa ""Biblia hebraica"" kung daragdagan ang bayad. | Kung mababasa ng mga tao ngayon ang aking mga sinusulat ay kanilang susunuguin ang aking mga aclat, na siyang pinagcagugulan ko ng pagal ng buong aking buhay; datapwat hindi gayon ang gagawin ng mga taong ipanganganak pang macababasa ng aking mga sinusulat ngayon; sa pagka't ang mga taong ipanganganak pang iyo'y pawang maguiguing mga pantas at mauunawa nila ang aking mga adhica at kanilang wiwikain: HINDI NATULUG NA LAHAT SA GABI Ng AMING MgA NUNO!","noli:6,noli:25"
cadalasa'y,2,"Datapwat ang totoong lalo niyang pinangangacuan at guinaganapan ng mga pangaco ay ang Virgen sa Antipolong Nuestra Señora de la Paz y Buen Viaje; sapagkat sa ilang may caliliitang mga santo'y hindi nga lubhang gumaganap at hindi rin totoong nag-uugaling mahal ang taong iyon; ang cadalasa'y pagka kinamtan na niya ang pinipita'y hindi na muling nagugunita ang mga santong iyon; tunay nga't hindi na naman sila muling liniligalig niya, at kung sacali't napapanaho'y talastas ni Kapitang Tiagong sa calendario'y maraming mga santong walang ginagawa sa langit marahil. | Ang lahat ng caculangan ng canyang mga nasasacop, ang cadalasa'y pinarurusahan ng mga ""multa""; sa pagka't bihirang bihirang namamalo siya,; sa bagay na ito'y naiiba siyang lubha kay pari Damaso, na pinaghuhusay ang lahat sa pamamag-itan ng mga panununtoc at panghahampas ng bastong nagtatawa pa at taglay ang magandang hangad.","noli:11,noli:6"
capilla,2,"Ang pintuang iyan ng salas, na natatacpan ng isang tabing na sutla ay siyang daang patungo sa isang maliit na capilla o panalanginang di dapat mawala sa alin mang bahay ng filipino: naririyan ang mga ""dios lar"" ni capitan Tiago, at sinasabi naming mga ""dios lar,"" sa pagka't lalong minamagaling ng ginoong ito ang ""politeismo"" kay sa ""monoteismo"" na kailan ma'y hindi niya naabot ng pag-iisip. | Ipinagtatayo ng mga taga Egipto ng mga palacio ang mga patay, ang mga musulman nama'y ipinagpapagawa, sila ng maliliit na mga capilla, at iba pa; datapwat ang bayang maestro sa bagay na ito, at siyang lalong magaling ang pagkakilala sa puso ng tao'y ang bayan ng Dahomey.","noli:6,noli:12"
Vicente,2,"Napapanood din doon ang isang San Antonio Abad, na may isang baboy sa tabi, at ang isip ng carapatdapat na Capitan, ang baboy na iyo'y macapaghihimalang gaya rin ni San Antonio, at sa ganitong cadahilana'y hindi siya, nangangahas tumawag sa hayop na iyon ng ""baboy"" kung di ""alaga ng santo señor San Antonio;"" isang San Francisco de Asis na may pitong pacpac at may habitong culay cafe, na nacapatong sa ibabaw ng isang San Vicente, na wala kung di dadalawang pacpac, ngunit may dala namang isang cornetin; isang San Pedro Martir na biyac ang ulo, at tangan ng isang di binyagang nacaluhod ang isang talibong ng tulisan, na na sa tabi ng isang San Pedro na pinuputol ang tainga ng isang moro, na marahil ay si Malco, na nangangatlabi at napapahindic sa sakit, samantalang tumatalaoc at namamayagpag ang sasabunging nacatuntong sa isang haliguing ""dorico"", at sa bagay na ito'y inaacala ni Kapitang Tiago, na nacararating sa paguiguing santo ang tumaga at gayon din ang mataga. | Tingnan na nga lamang ninyo ang aking si Andoy, ¡tingnan ninyo siya kung di camukha na ni San Vicente!","noli:34,noli:6"
macapagsasaysay,2,¿Sino ang macabibilang sa hucbong iyon ng mga larawan at macapagsasaysay ng mga canicanyang tungo't mga cagalingang doo'y natitipon?! | ¿Sino ang macapagsasaysay ng nangyari sa cariliman ng silid na tulugan?,"noli:39,noli:6"
nanglilisic,2,"Gayon ma'y sasabihin din namin ang isang magandang San Miguel, na kahoy na dinorado at pinintahan, halos isang metro ang taas: nangangatabi ang arcangel, nanglilisic ang mga mata, cunot ang noo at culay rosa ang mga pisngi; nacasuot sa caliwang kamay ang isang calasag griego, at iniyayamba ng canan ang isang kris joloano, at handang sumugat sa namimintacasi o sa lumapit sa kanya, ayon sa nahihiwatigan sa canyang acma at pagtinging hindi ang tungo'y sa demoniong may buntot at may mga sungay na ikinacagat ang canyang mga pangil sa binting dalaga ng arcangel. | Lumapit sa kanya si pari Salvi na nanglilisic ang mga mata sa galit, itinuro sa kanya ang lansangan at saka sinabi sa gulat na si Lucas:","noli:43,noli:6"
caliwang,2,"Gayon ma'y sasabihin din namin ang isang magandang San Miguel, na kahoy na dinorado at pinintahan, halos isang metro ang taas: nangangatabi ang arcangel, nanglilisic ang mga mata, cunot ang noo at culay rosa ang mga pisngi; nacasuot sa caliwang kamay ang isang calasag griego, at iniyayamba ng canan ang isang kris joloano, at handang sumugat sa namimintacasi o sa lumapit sa kanya, ayon sa nahihiwatigan sa canyang acma at pagtinging hindi ang tungo'y sa demoniong may buntot at may mga sungay na ikinacagat ang canyang mga pangil sa binting dalaga ng arcangel. | Bumati sa kanya ng buong capacumbabaan ang isang maliit na lalaking nacasuut ng lucsa at may isang malaking pilat sa caliwang pisngi, at pinahinto siya sa paglacad.","noli:41,noli:6"
calasag,2,"Gayon ma'y sasabihin din namin ang isang magandang San Miguel, na kahoy na dinorado at pinintahan, halos isang metro ang taas: nangangatabi ang arcangel, nanglilisic ang mga mata, cunot ang noo at culay rosa ang mga pisngi; nacasuot sa caliwang kamay ang isang calasag griego, at iniyayamba ng canan ang isang kris joloano, at handang sumugat sa namimintacasi o sa lumapit sa kanya, ayon sa nahihiwatigan sa canyang acma at pagtinging hindi ang tungo'y sa demoniong may buntot at may mga sungay na ikinacagat ang canyang mga pangil sa binting dalaga ng arcangel. | Kung ikaw ay naging asawa niya, tatangis ka pagkatapos, dahil sa calagayang pagka inianac dito ng asawa mo, na laguing nabibingit sa lahat ng pag-api't pagpapahirap na walang calasag sa pagsasanggalang; kung maguing ina ka na'y tatangisan mo ang casawiang palad ng iyong mga anak; kung sila'y papag-aralin mo't ng dumunong, inihahanda mo sa kanila ang masaclap na mararating; maguiguing kaaway sila ng religion, at kung magcagayo'y makikita mo sila sa pagkabitay o sa pagkapatapon; kung pabayaan mo namang mangmang, makikita mo namang sila'y tinatampalasan at sumasacaimbihan!","noli:61,noli:6"
acma,2,"Gayon ma'y sasabihin din namin ang isang magandang San Miguel, na kahoy na dinorado at pinintahan, halos isang metro ang taas: nangangatabi ang arcangel, nanglilisic ang mga mata, cunot ang noo at culay rosa ang mga pisngi; nacasuot sa caliwang kamay ang isang calasag griego, at iniyayamba ng canan ang isang kris joloano, at handang sumugat sa namimintacasi o sa lumapit sa kanya, ayon sa nahihiwatigan sa canyang acma at pagtinging hindi ang tungo'y sa demoniong may buntot at may mga sungay na ikinacagat ang canyang mga pangil sa binting dalaga ng arcangel. | Hinuhudyatan ni kapitang Basilio ang bata upang sa kanya'y sabihin kung paano ang marapat na paggalaw ng bisig at kung paano ang acma ng paa.","noli:20,noli:6"
sacsi,2,"Casabihang may isang Cristo raw sa España, na nang siya'y tawaguing sacsi ng mga nangaco sa pagsinta, siya'y sumang-ayo't nagpatotoo, sa pamamag-itan ng minsang pagtango ng ulo sa harap ng hucom; may isang Cristo namang tinanggal sa pagkapaco ang canang kamay upang yacapin si Santa Lutgarda; at ¿ano? | —¡Ang matibay at tangi, sacsi ko ang pangalan ng aking ama!","noli:60,noli:6"
